Cardiac pathology in Mucopolysaccharidosis I mice: Losartan modifies ERK1/2 activation during cardiac remodeling.  ;Mucopolysaccharidosis type I (MPS I) is a lysosomal storage disorder caused by mutations in the IDUA gene, that codifies the alpha-L-iduronidase enzyme, which deficiency leads to storage of glycosaminoglycans, with multiple clinical manifestations. One of the leading causes of death in MPS I patients are cardiac complications such as cardiac valve thickening, conduction abnormalities, myocardial dysfunction, and cardiac hypertrophy. The mechanism leading to cardiac dysfunction in MPS I is not entirely understood. In a previous study, we have demonstrated that losartan and propranolol improved the cardiac function in MPS I mice. Thus, we aimed to investigate whether the pathways influenced by these drugs may modulate the cardiac remodeling process in MPS I mice. According to our previous observation, losartan and propranolol restore the heart function, without altering valve thickness. MPS I mice presented reduced activation of AKT and ERK1/2, increased activity of cathepsins, but no alteration in metalloproteinase activity was observed. Animals treated with losartan showed a reduction in cathepsin activity and restored ERK1/2 activation. While both losartan and propranolol improved heart function, no mechanistic evidence was found for propranolol so far. Our results suggest that losartan or propranolol could be used to ameliorate the cardiac disease in MPS I and could be considered as adjuvant treatment candidates for therapy optimization. This article is protected by copyright. All rights reserved.  
Effect of Left and Right Coronary Flow Waveforms on Aortic Sinus Hemodynamics and Leaflet Shear Stress: Correlation with Calcification Locations.  ;Coronary flow induces hemodynamic alterations in the aortic sinus region. The objectives of this study are to: (1) investigate the differences among sinus hemodynamics and leaflet wall shear stresses engendered by the left versus right versus non-coronary flow and (2) correlate respective wall shear stresses with leaflet calcification in patients. A left heart simulator flow loop with a tunable coronary circuit provided physiological coronary flow waveforms corresponding to the left coronary cusp case (LCC), right coronary cusp case (RCC), and non-coronary cusp case (NCC). High spatio-temporal resolution particle image velocimetry was conducted to quantify leaflet wall shear stress and sinus vorticity fields and to measure aortic leaflet tip kinematics. Thirty-one patients with severe calcific aortic valve disease were segmented from CT data for the calcific volumes in their respective left, right, and non-coronary cusps. Leaflet tip position during systole shows the RCC has a wider leaflet opening compared to LCC and NCC. Velocity and vorticity fields combined with leaflet position data show that sinus vorticity is diminished (peak ~ 43 s-1) in the LCC while RCC and NCC maintain high vorticity (~ 1200 and ~ 950 s-1 respectively). WSS magnitudes greater than 0.3 Pa show 20 and 81% greater occurrences in the LCC and RCC respectively compared to NCC. Significant differences [X2 (2, n = 31) = 7.31, p = 0.0258] between the calcification levels in each cusp of the patient population. Coronary flow differences between LCC, RCC, and NCC show significant impact on leaflet kinematics and sinus flow hemodynamics. Clinical data correlations of the coronary flow cases indicate the left coronary cusp has a higher likelihood of calcification compared to the right.  
Coronary microvascular dysfunction in patients with mild-to-moderate aortic stenosis - Insights from intracoronary acetylcholine testing.  ;DOI: 10.1016/j.ijcha.2020.100658 PMCID: PMC7591340 PMID: 33145392  
Risk factors of chronic left ventricular dysfunction after cardiac valve surgery.  ;"BACKGROUND: To analyze the risk factors of chronic left ventricular dysfunction (LVD) after cardiac valve surgery. METHODS: A retrospective analysis of 860 patients who underwent heart valve surgery in our center from January 2017 to December 2018, including 650 males and 210 females, aged 58±5.8 years. Inclusion criteria: (I) the patient was clinically diagnosed with heart valve disease and met the surgical indications for mitral valve replacement (MVR), mitral valve repair (MVP), aortic valve replacement (AVR) and double valve replacement (DVR); (II) if atrial fibrillation, coronary artery disease, and tricuspid regurgitation are combined before surgery, radiofrequency ablation, coronary bypass and tricuspid angioplasty were performed contemporarily. Exclusion criteria: (I) preoperative LVEF <50%; (II) aortic dissection underwent Bentall and right heart valve replacement procedures; (III) cardiopulmonary resuscitation and death during perioperative period and 6 months after operation; (IV) postoperative CRRT, IABP, or ECMO assistance; (V) postoperative cardiac dysfunction due to valvular dysfunction, perivalvular leak, or infective endocarditis. Patients were divided into LVD group (LVEF <40%) and control group (LVEF ≥40%) based on cardiac LVEF at 6 months after surgery. Logistic regression was used to analyze the risk factors of postoperative LVD. RESULTS: There were 126 cases in LVD group and 734 cases in control group. There were significant differences in preoperative coronary artery disease, atrial fibrillation, pulmonary hypertension, NYHA classification, left ventricular end diastolic diameter (LVEDD), and left ventricular end systolic diameter (LVESD) between the two groups (P<0.05). The differences in the changes of LVEDD and LVESD before and after operation between the two groups were statistically significant (P<0.05). Logistic regression analysis showed that preoperative LVEDD >55 mm, preoperative LVESD >40 mm, preoperative combined atrial fibrillation, preoperative combined pulmonary hypertension, preoperative NYHA III-IV, and preoperative combined coronary artery disease were the risks of postoperative chronic LVD. CONCLUSIONS: The left ventricular diameter, preoperative coronary artery disease, NYHA III-IV, preoperative atrial fibrillation, and preoperative pulmonary hypertension are risk factors for chronic LVD after heart valve surgery.  "
Pulmonary valve replacement in primary repair of tetralogy of Fallot in adult patients.  ;"BACKGROUND: Adults with unrepaired tetralogy of Fallot (ToF) are common in developing countries. Long-term overload of the right ventricle places adult patients at risk for postoperative right heart failure after primary repair, which contributes to morbidity and mortality. The effect of pulmonary valve replacement (PVR) in reducing postoperative morbidity and mortality in adults has never been validated. METHODS: We conducted a retrospective cohort study in adults (age ≥18 years) with ToF undergoing primary repair from January 2014 to December 2019 at our institution. Patients were divided into three groups according to techniques used to enlarge the right ventricle outflow tract (RVOT). Baseline variables and perioperative outcomes were collected. The primary endpoint was operative mortality. Secondary endpoints were incidences of right heart failure and stage 3 acute kidney injury (AKI). RESULTS: A total of 56 patients were enrolled (mean age 41.5±11.7 years, 30 females, 53.6%). They were divided into three groups designated as the following: TA-PVR group for trans-annular patch enlargement with PVR; TA group for trans-annulus patch enlargement without PVR; and group AP for annulus preservation. Four patients (7.1%) died postoperatively, all due to right heart failure. All twelve patients in the TA-PVR group survived. There was no significant difference in mortalities among groups. Ten patients (17.9%) developed right heart failure after surgery with no significant difference among groups. Three patients (5.4%) developed stage 3 AKI after surgery, none belonging to the TA-PVR group, however, not statistically significant. CONCLUSIONS: Right heart failure is a common complication after primary repair of adult ToF. Trans-annulus patch enlargement should be cautiously selected in this population. PVR with trans-annulus patch enlargement may be a promising technique to protect against postoperative right heart failure and mortality when annulus preservation is not feasible.  "
Incidental Thoracic Aortic Dilation On Chest Computed Tomography In Patients With Atrial Fibrillation.  ;Individuals with atrial fibrillation (AF) have risk factors that predispose to thoracic aneurysmal disease (TAD) and atherosclerosis. In this study in individuals with AF, we assessed the occurrence of incidental TAD and assessed if a validated predictive score used to predict AF, the CHARGE-AF score, was associated with greater aortic dimensions. We also assessed the prevalence of coronary calcification. We conducted a cross-sectional study of 1,000 consecutive individuals with AF undergoing chest multidetector CT during evaluation for pulmonary vein isolation. A dilated aortic root (AR) or ascending aorta (AA, dimension/ body surface area >2.05cm/m2) were found in 195 (20%). A total of 12 (1%) had significant aortic aneurysmal enlargement of > 5.0cm. Advancing age, a bicuspid aortic valve, hypertension and male gender were associated with increased aortic dimensions. Aortic root dimensions increased linearly (P<0.001) and ascending aortic dimensions increased non-linearly across CHARGE-AF deciles (P<0.001). Nearly two-thirds (63%) had coronary calcification, 38% of whom were not on lipid-lowering therapy. In conclusion, in individuals with AF undergoing gated chest CT, 1 in 5 had previously undetected TAD, with a small proportion having significantly aneurysmal dimensions approaching surgical thresholds. Risk factors previously established to increase the propensity to develop AF are also associated with increased TAD. These findings raise the need to consider a surveillance strategy for TAD in patients with AF, particularly in those with other risk factors for aortic disease. A high prevalence of coronary calcium was also detected, representing an opportunity to optimize statin therapy in patients with AF.  
Usefulness of Thoracic Aortic Calcium to Predict 1-Year Mortality after Transcatheter Aortic Valve Implantation.  ;In patients undergoing transcatheter aortic valve implantation (TAVI), vascular disease is associated with increased risk of mortality. Thoracic aortic calcification (TAC), an objective surrogate of vascular disease, could be a predictor of mortality after TAVI. We aimed to analyze the association between TAC burden and 1-year all-cause mortality in patients undergoing TAVI in a US population. From July 2015 through July 2017, a retrospective review of TAVI procedures was performed at Baylor Scott & White-The Heart Hospital, Plano, Texas. Patients were analyzed for comorbidities, cardiac risk factors, and 30-day and 1-year all-cause mortality. Restricted cubic splines (RCS) analysis was used to define low, moderate, and high TAC categories. The association between TAC and survival was evaluated using unadjusted and adjusted Cox models. A total of 431 TAVI procedures were performed, of which TAC was measured in 374 (81%) patients. Median [IQR] age was 82 [77, 87] years, and 51% were male. Median [IQR] STS PROM was 5.6 [4.1, 8.2] %. Overall 30-day and 1-year all-cause mortality was 1% and 10%, respectively. TAC was categorized as low (<1.6 cm3), moderate (1.6 - 2.9 cm3), and high (>2.9 cm3). At 1 year, all-cause mortality was 16% in patients with high TAC compared to 6% in the low and moderate TAC categories (p = 0.008). Unadjusted and adjusted Cox regression analysis showed a significant increase in mortality for patients with high TAC compared with low TAC (HR 2.98, 95% CI [1.34-6.63]), but not significant compared with moderate TAC group. TAC is a predictor of late mortality after TAVI. In conclusion, adding TAC to pre-operative evaluation may provide an objective, reproducible, and potentially widely available tool that can help in shared-decision making.  
Double Valve Replacement in Patients with Mitral Annular Calcification and Aortic Stenosis.  ;Mitral annular calcification (MAC) is a degenerative process of the fibrous structure of the mitral valve (MV). Surgical MV replacement in the presence of MAC is technically challenging due to high calcium burden and is associated with prohibitive operative mortality. There is no standard management strategy for patients with severe aortic stenosis and severe MV disease with MAC. We report a case series of three patients who underwent concomitant surgical, transatrial implantation of a transcatheter heart valve in the mitral position and transcatheter aortic valve replacement.  
Early Outcomes for Surgical Minimally Invasive SAPIEN 3 Transcatheter Mitral Valve Replacement.  ;BACKGROUND: Limited surgical options are available for patients with extensive mitral annular calcification. Several reports have shown the feasibility of surgical mitral valve replacement utilizing a transcatheter aortic valve in the mitral position (MVR-TAVR). We review our 30-day and 1-year outcomes utilizing a minimally invasive approach for MVR-TAVR. METHODS: Between 2017-2019, 16 patients underwent MVR-TAVR under direct vision. Primary endpoints included overall survival, technical success, and effectiveness. Secondary endpoints included valve and cardiac hemodynamics post-operatively and during follow-up. RESULTS: The 16 patients (69% females) were from ages 53 to 88 years (average 77±9). Comorbidities on presentation: 31% (5/16) were reoperative surgeries, 13% (3/16) had right ventricular dysfunction, 31% (5/16) had severe pulmonary hypertension, and 20% (3/16) had chronic kidney disease. Isolated surgery was performed on 69% (11/16) of patients, with a cross-clamp (58%[7/12]) or on a fibrillating heart (42%[5/12]), while concomitant surgery was performed in 31% (5/16) of patients with a cross-clamp. Upon follow up, the estimated 30-day mortality rate was 12.5% and the 1-year mortality rate was 36.2%. A moderate post-operative paravalvular leak (PVL) was evident immediately in one patient and a severe PVL after 30-day follow-up in another. In addition, one patient had mild LVOTO and another had moderate mitral valve stenosis. At 1-year follow up, there were no changes to the mild PVL and moderate stenosis identified post-surgery. CONCLUSIONS: Mini-thoracotomy MVR-TAVR is an acceptable alternative to conventional and transcatheter MVR in patients with mitral valve disease and extensive mitral annular calcification.  
Midterm postoperative prognosis of patients with severe left heart valvular disease combined with moderate or severe pulmonary hypertension treated with treprostinil.  ;BACKGROUND: To investigate the midterm postoperative prognosis of patients with severe left heart valvular disease combined with moderate or severe pulmonary hypertension (PAH) using subcutaneous injection of treprostinil. METHODS: A retrospective study was conducted on 61 patients with severe left heart valvular disease combined with moderate or severe PAH who had undergone mechanical mitral and/or aortic valve replacement from April 2018 to October 2018. The patients were divided into the treprostinil group and the conventional treatment group according to whether they received treprostinil. The patients were assessed by SwanGanz catheterization, echocardiography, the 6-min walk test (6-MWT), the Borg dyspnoea score and the SF-36 questionnaire. RESULTS: Compared with the preoperative data, the mPAP measured by SwanGanz catheterization, the results of the 6-MWT and the Borg score were significantly improved in both groups during the 1 year follow-up (P < 0.05). Regarding the comparison between the groups, the results in group T were significantly better than those in group C, including the results of the 6-MWT and the general health, vitality and mental health of SF-36 during the 1 year follow-up (P < 0.05). CONCLUSIONS: Continuous subcutaneous infusion of treprostinil was not capable of decreasing pulmonary pressures in patients with severe left heart valvular disease combined with moderate or severe PAH during 1 year follow-up, although which some of our data suggest that might improve the symptoms and quality of life of these patients.  
[Surgical treatment of tricuspid valve disease due to permanent pacemaker lead].  ;"Objective: To summarize the etiology and surgical treatment experience of tricuspid valve disease due to permanent pacemaker lead. Methods: The medical records of 22 patients who underwent tricuspid valve operation for tricuspid valve disease due to permanent cardiac pacemaker lead from January 2008 to December 2017 were retrospectively reviewed. There were 12 males and 10 females, with a mean age of (62.6±12.1) years old (45-82 years old). All patients underwent tricuspid valve surgery via open thoracotomy under general anesthesia, including 8 patients through median thoracotomy approach, 4 patients through right mini-thoracotomy approach, and 10 patients with endoscopy-assisted and totally endoscopic technique. Moreover, 8 patients underwent tricuspid valve replacement, and 14 patients received tricuspid valve repair. Results: During the operation, 10 cases of severe tricuspid regurgitation were detected due to valve and subvalvular structures dysfunction involved in the pacing electrode, 7 cases showed tricuspid annulus dilation, and pacing electrode-related infective endocarditis were involved in the tricuspid valve of 5 cases. Compared with conventional median thoracotomy surgery, the amount of postoperative drainage fluid and hospitalization time after minimally invasive surgery (including right mini-thoracotomy and endoscopic surgery) were significantly reduced [281(120, 489) ml vs 368(180, 560) ml, P=0.02; 9.2(4.8, 14.5) d vs 11.2(6.3, 16.9) d, P=0.03]. Postoperative echocardiographic data showed that the size of the right atrium and ventricle in these patients was significantly reduced compared with preoperative data, and their cardiac function were normal. There was no difference of pacing electrode parameters between pre-and postoperative period. All 22 patients were cured and discharged, with no valve-and pacemaker-related complications. Conclusions: Patients with tricuspid valve disease due to permanent cardiac pacemaker lead should actively undergo surgery including tricuspid replacement or repair according to different etiologies, which exhibit satisfactory outcomes. Minimally invasive endoscopic tricuspid surgery is a new technique for the treatment of isolated tricuspid valve disease, with less surgical trauma and faster recovery.  "
